p_fn,p_misid,mean_inflation,intercept,slope,rmse
0.05,0.05,0.03424296976405321,-0.10614740885167212,1.0929663995859913,0.05169075863854248
0.1,0.05,0.05288449882464992,-0.16576979252131724,1.1436615774334686,0.07392256047847282
0.15,0.05,0.06616961079280984,-0.17542790009225293,1.1358237944216318,0.08975036085646115
0.2,0.05,0.0838680800851505,-0.1720299164306033,1.1081985654559734,0.11095041753750545
0.05,0.1,0.06749756437261586,-0.2597720610977556,1.241078457705144,0.08707447506720202
0.1,0.1,0.08364609896471394,-0.2846279926102716,1.248131675228951,0.10500661001243294
0.15,0.1,0.10010628070575261,-0.2957440495374296,1.2381340739106708,0.12430779872382616
0.2,0.1,0.11868508354774279,-0.4129203581479763,1.351675069361603,0.1425818950817555
0.05,0.2,0.11400900048281179,-0.5143392707542764,1.470896693737491,0.13691183063147924
0.1,0.2,0.13209316541112062,-0.5160040882750545,1.4466813596531487,0.1559110749900327
0.15,0.2,0.1447480412794371,-0.5796041114646887,1.497992736369492,0.17087296216676007
0.2,0.2,0.1637797235760211,-0.5920810506765746,1.4836961972285476,0.18960537303560782
