effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,scenario,p_fn,p_misid,term_clean,is_baseline,new_term
fixed,cond,scale(timespan),0.17900192915473148,0.032384501152549296,5.527394981677539,3.250206631424904e-8,0.11552947323843901,0.24247438507102395,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.06386143948504422,0.03331290378282939,-1.9170180990934986,0.05523563234017693,-0.12915353111983793,0.001430652149749495,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.062247002956119186,0.032022287680658755,-1.943864959832834,0.051911737723805085,-0.12500953351279098,5.155276005526163e-4,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.3005463172550578,0.07045993746400019,-4.2654922509491975,1.9946193734865598e-5,-0.4386452570374426,-0.16244737747267302,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.06310510289484907,0.0358103315045407,1.7622038178241222,0.07803486729586973,-0.007081857128490743,0.13329206291818887,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.09162297225033239,0.034196914774827454,-2.6792759771936088,0.007378155542172713,-0.15864769359137984,-0.02459825090928494,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.006549243401840378,0.028054692887332547,-0.23344555679657927,0.815415441002902,-0.06153543105834418,0.048436944254663425,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),0.01505672058454187,0.031248178245861003,0.4818431482973321,0.6299173750044634,-0.04618858335983369,0.07630202452891743,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.08403222634715947,0.06647827795002999,1.264055401831021,0.2062101424964328,-0.046262804189142484,0.21432725688346144,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.1624201732600715,0.03409989800995938,4.763069180225533,1.9067043618833988e-6,0.09558560128406207,0.22925474523608091,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.04798651205827997,0.032450052105992166,-1.4787807397516897,0.13919892506546808,-0.11158744548247274,0.01561442136591279,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.0751874682398019,0.03160341001315552,-2.379093528467456,0.017355271836771265,-0.1371290136542392,-0.013245922825364582,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.260527648520684,0.06889207137330106,-3.781678258866387,1.557746141814961e-4,-0.3955536272327169,-0.1255016698086511,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.05687732842343829,0.03526889363298733,1.6126768538676355,0.10681473173751854,-0.012248432871790893,0.12600308971866747,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.07911343556342854,0.033605673490269654,-2.3541690240588515,0.018564167620531227,-0.1449793452805695,-0.013247525846287578,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.020162088037018397,0.029430639747157507,-0.6850713477598022,0.49329889958511725,-0.0778450819834201,0.037520905909383305,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),-0.019930033735993526,0.029332832152592424,-0.679444577063525,0.4968562132360575,-0.07742132831963318,0.03756126084764612,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.04431212165774094,0.06492387057189736,0.6825243360786576,0.4949074598626291,-0.08293632640011774,0.17156056971559963,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.1915579916559361,0.03280630193056945,5.839060801834516,5.2495910459245806e-9,0.12725882140607314,0.25585716190579905,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.03392817867196635,0.030738565407839202,-1.1037658466427227,0.2696947237340909,-0.09417465980775994,0.026318302463827235,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.05376346710245208,0.03026509556607662,-1.776418216987697,0.07566401070381981,-0.11308196440062512,0.005555030195720963,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.31566711362550415,0.06488575627014483,-4.864967779850762,1.144754544414236e-6,-0.442840859024632,-0.18849336822637633,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.047759232161811514,0.03320325281661544,1.4383901609155605,0.15032338275287568,-0.017317947528332843,0.11283641185195586,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.07415047326583607,0.03133422554865131,-2.366437081736895,0.017960226755184404,-0.13556442682464745,-0.012736519707024697,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.006126895918745289,0.02780530273412565,-0.2203499086965777,0.825598653674427,-0.06062428785686464,0.048370496019374064,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),0.006476567318823717,0.028552754001015167,0.22682811327388766,0.8205574021792359,-0.049485802182597925,0.062438936820245365,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.0696289043952462,0.061985883578558,1.1233026033580984,0.2613089985348756,-0.05186119496862021,0.19111900375911262,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.18011291054763268,0.03150815903802545,5.716389533589201,1.0881114894283989e-8,0.11835805361394261,0.24186776748132274,"FalseNeg.=0.10
Misidentif.=0.10",0.1,0.1,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.04068580230488223,0.03190579589949052,-1.2751853121937609,0.20224365876634984,-0.10322001316596938,0.021848408556204908,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.08996393669422782,0.03213955745324622,-2.7991653844362787,0.005123488828078874,-0.15295631178164626,-0.026971561606809386,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.2639866839454035,0.06922740440648753,-3.8133263294884476,1.3710888294335725e-4,-0.39966990332530844,-0.12830346456549852,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.03368231946176016,0.03508952889965535,0.9598965992983447,0.33710725791942936,-0.0350918934160417,0.10245653233956202,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.07096980651861831,0.033583523794054236,-2.1132328743651105,0.0345808408487329,-0.13679230362890854,-0.0051473094083280685,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),0.005623152582814771,0.028794746243264925,0.19528397768499256,0.8451706395547073,-0.050813512997954495,0.06205981816358403,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),0.021007663477320856,0.030436901286781833,0.6902037523262621,0.4900660639929509,-0.03864756684577235,0.08066289380041407,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.06150958021230987,0.06513818289161034,0.9442937687509881,0.3450195493064977,-0.0661589122736295,0.18917807269824924,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.13868321571232653,0.033379740833627616,4.154712177172253,3.256972645902699e-5,0.07326012586513542,0.20410630555951764,"FalseNeg.=0.15
Misidentif.=0.10",0.15,0.1,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.03632367682045665,0.030753657308989827,-1.1811173043746772,0.2375561265479535,-0.0965997375389637,0.02395238389805039,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.04044676914092767,0.030826541137837067,-1.3120761411432746,0.18949444522935313,-0.1008656795390307,0.019972141257175342,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.2558603665994297,0.06571392350965267,-3.8935487783170717,9.878832702489668e-5,-0.3846572899611688,-0.12706344323769053,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.032211533758726256,0.033961898768657475,0.9484609202255033,0.3428948586135687,-0.034352564674437584,0.09877563219189009,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.03556758488874097,0.032362557234092273,-1.0990350555880166,0.2717527755187919,-0.098997031515178,0.02786186173769606,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),0.011877571507712278,0.02712032651478842,0.43795827831333695,0.6614165280042668,-0.0412772917102397,0.06503243472566425,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),-0.037452648145584605,0.027713844475729922,-1.351405727140575,0.1765655002137544,-0.09177078519115958,0.016865488899990365,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.0871147320360997,0.06337519692319275,1.374587161309778,0.1692594711541901,-0.03709837144649171,0.2113278355186911,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.15944266446905397,0.03203479062823552,4.977172047708685,6.451996938613395e-7,0.09665562858543111,0.22222970035267683,"FalseNeg.=0.20
Misidentif.=0.10",0.2,0.1,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.07894141197246697,0.02949109030931063,-2.6767885196684094,0.007433153621884616,-0.136742886843534,-0.02113993710139995,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.12388821681939426,0.028173201907442855,-4.397377948960257,1.0956645966237289e-5,-0.1791066778871574,-0.06866975575163112,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.30047736435240047,0.06205633921625715,-4.8420091830631735,1.2853282250049846e-6,-0.422105554228665,-0.1788491744761359,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.018105465038198564,0.030743397296938244,0.5889220655519973,0.555913554930069,-0.04215048642620643,0.07836141650260356,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.04767524587030141,0.030496328071852243,-1.5633110241329387,0.11797945656533887,-0.10744695055184962,0.012096458811246796,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.0016621198071463845,0.024391869551623827,-0.0681423702938643,0.9456723021039504,-0.049469305643928235,0.04614506602963546,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),0.027477608789648784,0.02794263714147219,0.9833577500409503,0.3254313966163618,-0.027288953640707943,0.08224417122000552,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.0324990776508242,0.05886431807341758,0.5521014888899289,0.5808788219037102,-0.08287286574758441,0.14787102104923283,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.16206606320840497,0.02994302473565437,5.412481358819651,6.215732736236246e-8,0.10337881313833044,0.2207533132784795,"FalseNeg.=0.05
Misidentif.=0.20",0.05,0.2,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.04784001135657184,0.03065940605282668,-1.560369802146287,0.1186725167512698,-0.10793134300750146,0.012251320294357777,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.05368818655943279,0.02923589924353862,-1.836378833850932,0.06630164775317718,-0.11098949613241028,0.003613123013544703,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,delta np,FALSE,ΔNo. Patches
